Title,Company,Location,Via,Related Links,Extensions
Middle School Teacher,YOUTH ADVANCEMENT ACADEMY,"  Kalamazoo, MI   ",via LinkedIn,"[{""link"": ""https://www.indeed.com/viewjob?jk=605ce18736d03e41"", ""text"": ""Apply on Indeed""}]","16 days ago, Full-time, No degree mentioned"
Elementary Teacher - Kindergarten,Kalamazoo Public Schools,"  Kalamazoo, MI   ",via Salary.com,"[{""link"": ""https://www.indeed.com/viewjob?jk=3c676da3a3380785"", ""text"": ""Apply on Indeed""}]","15 days ago, Full-time, No degree mentioned"
"Full Time Special Education Teacher 23/24 in Kalamazoo, Michigan",Soliant Health,"  Kalamazoo, MI   ",via Soliant Health,"[{""link"": ""https://www.linkedin.com/jobs/view/middle-school-teacher-at-youth-advancement-academy-3883371191?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on LinkedIn""}]","16 days ago, Full-time and Contractor, No degree mentioned, Health insurance, Dental insurance"
2nd Grade Grade Teacher,Kalamazoo County Area Schools Employment Consortium,"  Kalamazoo, MI   ",via ZipRecruiter,"[{""link"": ""https://www.ziprecruiter.com/c/Kalamazoo-County-Area-Schools-Employment-Consortium/Job/2nd-Grade-Grade-Teacher/-in-Kalamazoo,MI?jid=ca88b7d6d2d5962b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on ZipRecruiter""}]","8 days ago, Full-time, No degree mentioned"
Middle School teacher for Alternative Education School,Youth Advancement Academy,"  Kalamazoo, MI   ","via Kalamazoo, MI - Geebo","[{""link"": ""https://kalamazoo-mi.geebo.com/jobs-online/view/id/1324691443-middle-school-teacher-for-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Kalamazoo, MI - Geebo""}]","4 days ago, 20–28 an hour, Full-time, Health insurance, Dental insurance, Paid time off"
2nd Grade Teacher,Kalamazoo County Area Schools Employment Consortium,"  Kalamazoo, MI   ",via CareerBuilder,"[{""link"": ""https://www.soliant.com/jobs/full-time-special-education-teacher-2324-in-kalamazoo-michigan/6333474/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Soliant Health""}]","6 days ago, Full-time, No degree mentioned"
"Senior Software Engineer, Full Stack (Go, Java, Angular, React)",SimplyApply,"  Kalamazoo, MI   ",via LinkedIn,"[{""link"": ""https://www.employmentcrossing.com/job/id-0c4a06a3564c1cfcfb328d913ecd7d92?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on Employment Crossing""}]","5 days ago, Full-time and Part-time, Health insurance"
Software Developer,Marana Group,"  Kalamazoo, MI   ",via Indeed,"[{""link"": ""https://kalamazoo-mi.geebo.com/jobs-online/view/id/1123525629-software-engineer-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Kalamazoo, MI - Geebo""}]","50K–60K a year, Full-time, No degree mentioned, Health insurance, Dental insurance, Paid time off"
"Lead Software Engineer, Backend (Java, Go)",SimplyApply,"  Kalamazoo, MI   ",via LinkedIn,"[{""link"": ""https://kalamazoo-mi.geebo.com/jobs-online/view/id/1123785082-software-engineer-ii-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Kalamazoo, MI - Geebo""}]","4 days ago, Full-time and Part-time, Health insurance"
"Software Engineer (REF130706S) at Robert Bosch in Kalamazoo, MI",Robert Bosch,"  Kalamazoo, MI   ","via Kalamazoo, MI - Geebo","[{""link"": ""https://www.disabledperson.com/jobs/58527637-lead-software-engineer-backend-java-go?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on DisABLEDperson.com""}]","3 days ago, 20–28 an hour, Full-time"
